pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9
Lime,Hanabana,Sakura,Cookie,Maru,Brocco,Maru,Brocco,Cookie
Maru,Maru,Sakura,Sakura,Hanabana,Lime,Cookie,Brocco,Brocco
Brocco,Cookie,Hanabana,Sakura,Maru,Brocco,Lime,Hanabana,Maru
Maru,Cookie,Brocco,Hanabana,Lime,Lime,Brocco,Maru,Sakura
Hanabana,Sakura,Lime,Sakura,Maru,Cookie,Brocco,Maru,Cookie
Maru,Brocco,Hanabana,Cookie,Maru,Hanabana,Sakura,Cookie,Lime
Maru,Sakura,Cookie,Lime,Hanabana,Lime,Brocco,Cookie,Maru
Maru,Hanabana,Hanabana,Maru,Sakura,Lime,Cookie,Sakura,Brocco
Maru,Sakura,Maru,Hanabana,Cookie,Lime,Sakura,Brocco,Lime
Brocco,Maru,Lime,Maru,Lime,Hanabana,Sakura,Hanabana,Cookie
Hanabana,Cookie,Lime,Brocco,Cookie,Maru,Sakura,Sakura,Brocco
Cookie,Sakura,Brocco,Hanabana,Brocco,Hanabana,Maru,Lime,Cookie
Sakura,Cookie,Lime,Brocco,Maru,Brocco,Lime,Cookie,Hanabana
Sakura,Brocco,Hanabana,Sakura,Brocco,Hanabana,Maru,Lime,Cookie
Maru,Cookie,Brocco,Sakura,Hanabana,Sakura,Lime,Lime,Brocco
Maru,Sakura,Lime,Brocco,Hanabana,Hanabana,Cookie,Brocco,Lime
Cookie,Sakura,Hanabana,Lime,Cookie,Maru,Brocco,Sakura,Hanabana
Hanabana,Lime,Lime,Maru,Brocco,Cookie,Cookie,Sakura,Sakura
Sakura,Hanabana,Hanabana,Lime,Maru,Lime,Brocco,Cookie,Cookie
Brocco,Hanabana,Lime,Lime,Sakura,Cookie,Sakura,Hanabana,Maru
Maru,Cookie,Brocco,Brocco,Lime,Sakura,Sakura,Cookie,Maru
Hanabana,Cookie,Cookie,Maru,Brocco,Lime,Brocco,Maru,Hanabana
Brocco,Brocco,Cookie,Sakura,Lime,Lime,Sakura,Maru,Maru
Brocco,Sakura,Lime,Maru,Lime,Sakura,Maru,Hanabana,Brocco
Maru,Sakura,Cookie,Lime,Sakura,Brocco,Cookie,Lime,Maru
Hanabana,Lime,Sakura,Cookie,Maru,Maru,Sakura,Cookie,Hanabana
Cookie,Sakura,Lime,Maru,Hanabana,Hanabana,Lime,Maru,Sakura
Brocco,Brocco,Cookie,Cookie,Hanabana,Hanabana,Lime,Maru,Lime
Cookie,Sakura,Cookie,Hanabana,Brocco,Hanabana,Lime,Brocco,Sakura
Sakura,Lime,Hanabana,Brocco,Cookie,Lime,Sakura,Hanabana,Brocco
